0,0,0,1
0,0,1,0
0,0.5,-0.80902,-0.30902
0.5,-0,-0.30902,0.80902
0,0.5,-0.80902,0.30902
0.5,0,0.30902,0.80902
0.5,-0,-0.30902,-0.80902
0,0.5,0.80902,-0.30902
0.5,0,0.30902,-0.80902
0,0.5,0.80902,0.30902
0.5,0.5,-0.5,0.5
0.5,-0.5,0.5,0.5
0.5,0.5,-0.5,-0.5
0.5,-0.5,-0.5,0.5
0.5,-0.5,0.5,-0.5
0.5,0.5,0.5,0.5
0.5,0.5,0.5,-0.5
0.5,-0.5,-0.5,-0.5
0.30902,0.80902,-0.5,-0
0.80902,-0.30902,0,0.5
0.30902,-0.80902,0.5,-0
0.80902,0.30902,0,0.5
0.80902,0.30902,0,-0.5
0.30902,-0.80902,-0.5,-0
0.80902,-0.30902,0,-0.5
0.30902,0.80902,0.5,-0
0,1,0,0
1,0,0,0
0,-0.30902,0.5,0.80902
0.30902,-0,-0.80902,0.5
0,0.30902,-0.5,0.80902
0.30902,0,0.80902,0.5
0.30902,0,-0.80902,-0.5
0,-0.30902,-0.5,0.80902
0.30902,0,0.80902,-0.5
0,0.30902,0.5,0.80902
0.5,0.30902,-0.80902,0
0.30902,-0.5,0,0.80902
0.5,-0.30902,0.80902,0
0.30902,0.5,0,0.80902
0.30902,0.5,-0,-0.80902
0.5,-0.30902,-0.80902,-0
0.30902,-0.5,-0,-0.80902
0.5,0.30902,0.80902,-0
0,-0.80902,0.30902,0.5
0.80902,0,-0.5,0.30902
0,-0.80902,0.30902,-0.5
0.80902,0,0.5,0.30902
0.80902,0,-0.5,-0.30902
0,-0.80902,-0.30902,0.5
0.80902,0,0.5,-0.30902
0,-0.80902,-0.30902,-0.5
0.80902,0.5,-0.30902,0
0.5,-0.80902,-1.7802e-17,0.30902
0.80902,-0.5,0.30902,0
0.5,0.80902,-1.7802e-17,0.30902
0.5,0.80902,1.7802e-17,-0.30902
0.80902,-0.5,-0.30902,0
0.5,-0.80902,1.7802e-17,-0.30902
0.80902,0.5,0.30902,0
