1.3551,0.66021,-1.5066,-0.50875,1.0748,-1.1003,2.5109,-2.4854,-3.6065,3.5658,4.0096,-3.9689,0.67755,0.3301,-0.75328,0.74563
-1.5066,1.3551,0.66021,-0.50875,-2.5109,-1.0748,1.1003,2.4854,-4.0096,3.6065,-3.5658,3.9689,-0.75328,0.67755,0.3301,0.74563
1,1,0,-2,-1.6667,-1.6667,3.3333,0,-2.6615,2.6615,0,0,0.5,0.5,0,0
-1.943,3.988,-4.4338,2.3888,3.2383,-3.3134,7.3897,-7.3146,-10.494,10.614,-11.8,11.68,-0.9715,1.994,-2.2169,2.1944
1,0,1,-2,1.6667,-3.3333,1.6667,0,-2.6615,0,2.6615,0,0.5,0,0.5,0
3.988,-4.4338,-1.943,2.3888,3.3134,-7.3897,-3.2383,7.3146,-10.614,11.8,10.494,-11.68,1.994,-2.2169,-0.9715,2.1944
1.943,-2.3888,-3.988,4.4338,-3.2383,7.3146,3.3134,-7.3897,-10.494,11.68,10.614,-11.8,-0.9715,2.1944,1.994,-2.2169
0.50875,-0.66021,-1.3551,1.5066,2.4854,1.1003,-1.0748,-2.5109,-3.9689,3.5658,-3.6065,4.0096,0.74563,0.3301,0.67755,-0.75328
-1,-1,0,2,1.6667,1.6667,-3.3333,0,-2.6615,2.6615,0,0,0.5,0.5,0,0
-1,-0,-1,2,-1.6667,3.3333,-1.6667,0,-2.6615,0,2.6615,0,0.5,0,0.5,0
-2.3888,-3.988,1.943,4.4338,-7.3146,-3.3134,3.2383,7.3897,-11.68,-10.614,10.494,11.8,2.1944,1.994,-0.9715,-2.2169
-0.66021,-1.3551,0.50875,1.5066,-1.1003,1.0748,-2.4854,2.5109,-3.5658,3.6065,3.9689,-4.0096,0.3301,0.67755,0.74563,-0.75328
