PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
1,1,0.0107708,2.141e-05,0.0104304,9,5,12,4,0.727
1,1,0.0152938,1.8642e-05,0.0150106,24,6,20,3,0.742
1,1,0.0204578,4.8997e-05,0.0200985,43,8,28,4,0.713
1,1,0.00980936,5.9516e-05,0.00947534,14,5,12,4,0.749
1,1,0.0242823,5.4986e-05,0.0239596,23,8,34,4,0.706
1,1,0.0987988,5.9552e-05,0.0984701,284,21,160,5,0.758
1,1,0.00689893,4.669e-05,0.00661658,9,5,8,4,0.724
1,1,0.00603077,8.9177e-05,0.00566605,3,4,10,3,0.752
1,1,0.0130834,5.9461e-05,0.0127797,10,6,18,3,0.726
1,1,0.0113971,5.3463e-05,0.0110186,25,6,16,5,0.723
1,1,0.00847755,7.3466e-05,0.00809555,6,5,10,4,0.714
1,1,0.00994593,6.6489e-05,0.00959508,8,5,10,4,0.705
1,1,0.0185509,7.7711e-05,0.0181701,23,7,22,5,0.699
1,1,0.00675804,5.9447e-05,0.00642648,9,5,10,4,0.718
1,1,0.023429,4.4489e-05,0.0231658,29,8,28,4,0.707
1,1,0.0132289,6.0225e-05,0.012869,12,6,18,3,0.739
1,1,0.0286327,8.537e-05,0.0282632,36,9,40,4,0.718
1,1,0.0270193,4.5327e-05,0.0267831,27,8,34,4,0.708
1,1,0.0239184,8.7383e-05,0.0235037,24,8,34,4,0.733
1,1,0.00626103,6.3238e-05,0.00593331,9,4,8,3,0.724
1,1,0.0243761,5.4912e-05,0.0240477,35,8,30,4,0.757
1,1,0.0112101,6.1857e-05,0.0109301,11,6,16,3,0.703
1,1,0.0179726,6.304e-05,0.0176385,19,7,24,5,0.713
1,1,0.0371047,7.6097e-05,0.0367492,41,10,50,4,0.742
1,1,0.0232901,6.1463e-05,0.0228807,24,8,30,4,0.728
1,1,0.0183878,5.9683e-05,0.0180532,15,7,24,4,0.717
1,1,0.013261,3.8511e-05,0.0129695,22,6,16,3,0.731
1,1,0.0140485,4.2981e-05,0.0137664,31,7,18,5,0.724
1,1,0.00657341,4.2503e-05,0.00624061,6,5,10,3,0.712
1,1,0.0136791,6.8602e-05,0.0132982,13,6,16,5,0.745
1,1,0.0224569,6.9023e-05,0.0220129,19,7,26,4,0.732
1,1,0.015283,5.0957e-05,0.0149996,29,8,16,5,0.736
1,1,0.00918606,5.3031e-05,0.00888516,10,5,10,3,0.72
1,1,0.0434289,6.4278e-05,0.0430398,72,12,60,5,0.753
1,1,0.0847055,6.0697e-05,0.0843806,177,16,134,4,0.73
1,1,0.0181329,6.8608e-05,0.0177281,28,9,26,4,0.72
1,1,0.0123389,5.7852e-05,0.0119826,12,6,14,4,0.741
1,1,0.0121123,5.7588e-05,0.0117629,12,6,16,4,0.722
1,1,0.00513112,6.3106e-05,0.00482318,10,4,6,3,0.721
1,1,0.0284193,6.3064e-05,0.0280776,36,10,38,4,0.761
1,1,0.0126679,6.0165e-05,0.0123416,7,5,14,4,0.715
1,1,0.0206477,5.7884e-05,0.0203546,16,7,26,3,0.75
1,1,0.0128858,7.4976e-05,0.0124997,12,6,16,4,0.745
1,1,0.0104452,6.193e-05,0.0101127,7,5,10,4,0.736
1,1,0.0165827,7.0649e-05,0.0161995,15,7,20,4,0.722
1,1,0.0164535,6.9957e-05,0.0161077,15,7,22,4,0.698
1,1,0.0258249,4.3275e-05,0.025554,27,8,32,4,0.719
1,1,0.0303115,5.9739e-05,0.0300413,36,10,44,4,0.705
1,1,0.0124483,5.3162e-05,0.0121651,22,7,22,4,0.701
1,1,0.0211477,5.1656e-05,0.0208077,22,7,26,4,0.744
