3,1,1.14709,0,0,30,24,23,11,0.819
3,1,0.595855,0,0,29,16,15,5,0.833
3,1,1.80382,0,0,44,36,35,8,0.828
3,1,1.83083,0,0,55,41,40,7,0.839
3,1,1.17593,0,0,33,24,23,7,0.791
3,1,0.960963,0,0,20,17,16,6,0.837
3,1,0.496874,0,0,16,10,9,6,0.821
3,1,2.19424,0,0,67,54,53,8,0.828
3,1,3.36685,0,0,80,69,68,9,0.823
3,1,0.749512,0,0,23,19,18,5,0.809
3,1,0.547982,0,0,12,11,10,5,0.838
3,1,1.07854,0,0,37,26,25,6,0.808
3,1,1.4123,0,0,28,29,28,7,0.811
3,1,0.825592,0,0,28,19,18,7,0.832
3,1,0.93,0,0,33,23,22,6,0.834
3,1,1.40192,0,0,40,30,29,8,0.834
3,1,0.541585,0,0,16,11,10,7,0.834
3,1,1.2218,0,0,44,26,25,8,0.792
3,1,0.897476,0,0,24,23,22,6,0.832
3,1,1.36113,0,0,37,29,28,9,0.83
3,1,0.607983,0,0,19,17,16,6,0.826
3,1,1.14935,0,0,33,23,22,7,0.828
3,1,1.18576,0,0,35,24,23,5,0.809
3,1,1.62146,0,0,67,38,37,10,0.821
3,1,2.21701,0,0,66,53,52,10,0.815
3,1,1.75158,0,0,51,38,37,8,0.83
3,1,2.06705,0,0,62,42,41,9,0.795
3,1,2.45393,0,0,73,48,47,6,0.815
3,1,2.42541,0,0,58,47,46,6,0.818
3,1,1.74512,0,0,37,36,35,6,0.812
3,1,3.2448,0,0,103,75,74,7,0.831
3,1,1.7701,0,0,51,41,40,10,0.834
3,1,1.057,0,0,33,23,22,6,0.837
3,1,1.45497,0,0,49,36,35,8,0.823
3,1,0.459599,0,0,13,10,9,7,0.826
3,1,1.22684,0,0,35,24,23,6,0.822
3,1,0.583239,0,0,17,17,16,6,0.815
3,1,0.741918,0,0,33,18,17,7,0.787
3,1,0.494707,0,0,18,15,14,6,0.831
3,1,0.871489,0,0,27,21,20,6,0.817
3,1,1.56427,0,0,57,35,34,6,0.829
3,1,1.14426,0,0,32,24,23,10,0.827
3,1,1.54724,0,0,47,37,36,9,0.819
3,1,0.852479,0,0,27,18,17,7,0.82
3,1,0.694522,0,0,27,18,17,8,0.801
3,1,1.50581,0,0,50,38,37,8,0.803
3,1,0.925588,0,0,21,18,17,5,0.819
3,1,0.830881,0,0,23,17,16,8,0.819
3,1,1.09544,0,0,31,21,20,6,0.827
3,1,0.798194,0,0,33,22,21,6,0.807
