PLANNER,SUCCESS,TOTAL_TIME,ASTAR_TIME,CONST_TIME,RANDOM_CONF,GRAPH_NODES,GRAPH_EDGES,PATH_CONFIG,VALID_SPACE
4,1,4.12934,0,0,21415,597,596,46,0.125
4,1,5.08432,0,0,28866,728,727,38,0.113
4,1,5.19156,0,0,28837,759,758,47,0.111
4,1,3.24658,0,0,18527,379,378,41,0.101
4,1,3.15095,0,0,17228,397,396,39,0.113
4,1,2.9604,0,0,16884,376,375,42,0.111
4,1,2.71999,0,0,14154,368,367,37,0.101
4,1,3.09005,0,0,16654,401,400,45,0.11
4,1,3.48098,0,0,18452,493,492,37,0.109
4,1,5.0233,0,0,30327,634,633,40,0.104
4,1,2.9352,0,0,14953,432,431,39,0.119
4,1,2.08207,0,0,11118,272,271,43,0.101
4,1,3.62627,0,0,19051,497,496,51,0.125
4,1,2.22564,0,0,11213,290,289,40,0.093
4,1,2.63927,0,0,13165,326,325,42,0.114
4,1,3.20539,0,0,17039,430,429,43,0.094
4,1,5.03659,0,0,27151,702,701,44,0.104
4,1,4.37921,0,0,25303,570,569,47,0.109
4,1,5.06132,0,0,27598,752,751,38,0.11
4,1,2.68162,0,0,14168,360,359,44,0.108
4,1,2.21354,0,0,12293,241,240,36,0.116
4,1,2.42901,0,0,13724,281,280,35,0.104
4,1,2.68717,0,0,15027,347,346,43,0.112
4,1,2.58511,0,0,14898,309,308,39,0.132
4,1,3.06459,0,0,16128,403,402,37,0.13
4,1,4.74156,0,0,27376,608,607,47,0.108
4,1,3.57917,0,0,18512,491,490,38,0.134
4,1,2.1122,0,0,11292,259,258,37,0.108
4,1,3.04429,0,0,16849,379,378,42,0.112
4,1,4.64908,0,0,24076,781,780,52,0.127
4,1,4.3369,0,0,24644,598,597,49,0.084
4,1,3.6581,0,0,20479,476,475,42,0.093
4,1,2.44904,0,0,13132,327,326,39,0.098
4,1,6.11699,0,0,34343,884,883,51,0.099
4,1,2.63154,0,0,13809,316,315,37,0.098
4,1,2.72147,0,0,13025,388,387,41,0.105
4,1,3.454,0,0,18725,458,457,42,0.118
4,1,2.96797,0,0,15708,421,420,44,0.114
4,1,4.23379,0,0,22243,606,605,41,0.117
4,1,3.24301,0,0,17748,404,403,37,0.096
4,1,2.83187,0,0,14390,409,408,38,0.107
4,1,2.41463,0,0,11894,348,347,39,0.093
4,1,2.76131,0,0,14717,373,372,44,0.08
4,1,4.64472,0,0,25041,651,650,43,0.109
4,1,3.84522,0,0,19529,564,563,44,0.102
4,1,3.03192,0,0,15645,407,406,45,0.12
4,1,2.7009,0,0,15168,361,360,35,0.123
4,1,3.52988,0,0,18980,514,513,42,0.107
4,1,2.84058,0,0,14764,404,403,43,0.115
4,1,4.6362,0,0,26416,600,599,49,0.102
