BUILD_TIME,SEARCH_TIME,PLAN_TIME,GRAPH_NODE,GRAPH_EDGE,PATH_NODE
0.438493,0.0473265,0.485819,10425,14967,78
0.438506,0.0474001,0.485906,10425,14967,78
0.440887,0.048326,0.489214,10425,14967,78
0.43995,0.047505,0.487455,10425,14967,79
0.441373,0.0473429,0.488716,10425,14967,78
0.437793,0.0472049,0.484998,10425,14967,78
0.43879,0.0474657,0.486255,10425,14967,78
0.437701,0.0474155,0.485116,10425,14967,78
0.436644,0.0471404,0.483784,10425,14967,78
0.437453,0.0472347,0.484688,10425,14967,78
0.437867,0.0470708,0.484938,10425,14967,78
0.436196,0.0469746,0.483171,10425,14967,78
0.437565,0.0473948,0.48496,10425,14967,78
0.437046,0.0483329,0.485379,10425,14967,78
0.438259,0.0471093,0.485368,10425,14967,78
0.437745,0.0500295,0.487775,10425,14967,78
0.448649,0.0511539,0.499803,10425,14967,78
0.447292,0.0486496,0.495941,10425,14967,78
0.437201,0.0479273,0.485129,10425,14967,78
0.436513,0.049474,0.485987,10425,14967,78
0.447599,0.0473073,0.494906,10425,14967,78
0.437818,0.0471753,0.484993,10425,14967,78
0.43872,0.04722,0.48594,10425,14967,78
0.436551,0.0471851,0.483736,10425,14967,78
0.437728,0.0474028,0.485131,10425,14967,78
0.436309,0.0476471,0.483956,10425,14967,78
0.436607,0.0472205,0.483828,10425,14967,79
0.436536,0.0470601,0.483596,10425,14967,78
0.437474,0.0472757,0.484749,10425,14967,78
0.44385,0.047238,0.491088,10425,14967,78
0.437834,0.0472219,0.485056,10425,14967,78
0.436931,0.0472037,0.484135,10425,14967,78
0.440747,0.0476873,0.488434,10425,14967,78
0.441614,0.0471678,0.488782,10425,14967,78
0.437438,0.0470075,0.484446,10425,14967,78
0.438164,0.0472783,0.485442,10425,14967,78
0.435788,0.0471717,0.48296,10425,14967,78
0.436356,0.0471577,0.483513,10425,14967,78
0.441976,0.0477679,0.489744,10425,14967,78
0.43672,0.0472852,0.484005,10425,14967,79
0.43669,0.0471991,0.483889,10425,14967,78
0.439485,0.0470991,0.486584,10425,14967,78
0.436866,0.0483986,0.485265,10425,14967,78
0.440967,0.0472889,0.488256,10425,14967,78
0.437482,0.0471035,0.484586,10425,14967,79
0.438392,0.0470392,0.485432,10425,14967,79
0.444948,0.0473412,0.49229,10425,14967,79
0.437499,0.0472266,0.484726,10425,14967,78
0.444916,0.0493219,0.494238,10425,14967,78
0.439562,0.047124,0.486686,10425,14967,79
